Train Losses,Test Losses
514.886,4578.659
43.044,534.417
40.966,553.301
42.296,570.625
40.826,575.909
40.903,604.352
40.562,574.013
40.418,590.791
42.695,557.6
41.471,543.191
40.545,564.301
41.629,547.783
40.793,601.42
41.141,551.591
40.853,603.657
41.249,561.285
40.15,583.569
40.605,571.889
41.406,568.372
40.186,591.708
40.032,571.35
40.118,581.717
40.543,602.458
40.31,568.111
40.576,559.632
40.484,568.942
39.825,581.656
39.895,568.55
41.228,591.743
39.95,588.234
40.1,570.798
40.438,593.682
40.043,576.596
40.455,558.435
39.976,566.414
39.892,576.807
40.571,569.897
39.81,574.741
40.571,556.56
39.693,565.905
40.082,559.89
40.328,562.624
39.798,578.675
40.788,562.671
40.098,585.207
40.4,562.141
39.646,581.729
39.751,573.323
40.062,580.878
39.74,580.678
40.105,580.245
40.44,590.052
40.344,583.183
39.96,578.945
39.742,581.394
40.182,590.76
39.767,570.477
40.258,588.007
39.804,577.919
40.113,570.28
40.334,565.114
39.584,580.905
39.605,572.392
40.156,575.649
39.671,574.911
39.558,582.786
39.609,579.533
40.144,564.749
39.78,572.706
39.781,574.689
39.865,566.547
39.755,584.89
39.834,593.263
39.506,576.271
39.722,584.435
40.124,563.731
39.77,586.075
39.634,569.293
39.701,584.808
39.977,575.781
40.587,565.946
39.859,587.038
39.52,576.169
40.382,567.88
39.695,576.177
39.502,579.534
39.709,582.81
39.661,576.681
39.785,574.932
39.809,571.407
39.923,586.269
39.725,580.56
39.913,572.16
39.476,576.388
40.122,585.453
39.696,573.097
39.655,572.225
39.629,574.679
39.596,573.166
39.625,575.799
39.694,586.239
39.66,574.832
39.598,585.681
39.494,580.028
40.132,571.129
39.95,586.629
39.615,570.56
39.952,587.473
39.452,581.101
39.553,578.951
39.547,576.014
39.524,581.103
39.667,581.548
39.814,577.88
39.635,582.752
39.676,584.116
39.54,580.661
39.828,586.69
39.483,580.443
39.874,578.412
39.636,576.217
39.576,579.515
39.926,574.949
39.512,573.261
39.666,578.748
39.575,587.621
39.561,576.675
39.586,576.959
39.725,575.855
39.468,580.357
39.538,583.158
39.85,572.389
39.717,589.003
39.65,582.658
39.632,580.535
39.531,580.312
39.675,578.323
39.568,575.678
39.54,582.828
39.563,584.456
39.482,579.912
39.694,571.561
39.595,579.775
39.637,585.38
39.521,582.278
39.514,581.042
39.662,576.648
39.45,580.535
39.704,586.611
39.509,574.922
39.637,574.548
39.473,578.961
39.57,577.691
39.643,579.632
39.763,570.596
39.807,588.267
39.583,581.088
39.806,572.769
39.467,582.772
40.267,587.901
39.457,579.423
39.685,585.903
39.705,587.452
39.522,581.635
39.603,573.06
39.618,580.051
39.567,577.166
39.657,585.296
39.54,574.922
39.798,575.256
39.467,575.813
39.546,578.917
39.522,580.488
39.735,588.574
39.468,580.604
39.477,578.563
39.568,577.778
39.529,581.602
39.495,581.263
39.551,576.889
39.522,581.973
39.573,580.138
39.58,575.217
39.426,583.6
39.584,584.48
39.474,577.845
39.52,577.483
39.721,580.426
39.596,575.923
39.803,586.707
39.581,578.454
39.568,578.389
39.576,581.788
39.859,571.169
39.55,582.82
39.526,576.984
39.466,580.477
39.587,580.175
40.342,566.673
39.705,588.752
39.428,577.659
39.571,578.424
39.492,579.148
39.795,587.536
39.503,581.357
39.773,584.972
39.546,578.164
39.609,578.426
39.497,579.575
39.642,584.245
39.408,578.707
39.435,579.578
39.484,583.192
39.711,578.35
39.887,588.502
39.642,587.966
39.689,573.136
39.514,577.026
39.501,578.456
39.812,586.307
39.484,578.194
39.457,577.275
39.512,584.284
39.59,584.034
39.391,581.476
39.413,580.622
39.499,579.283
39.615,583.8
39.474,576.89
39.991,588.544
39.66,577.595
39.459,578.246
39.465,581.926
39.727,586.895
39.491,579.756
39.488,577.914
39.505,582.415
39.568,576.663
39.759,574.428
39.504,582.973
39.555,576.219
39.44,578.779
39.449,584.273
39.624,575.136
39.484,581.181
39.629,585.236
39.64,584.203
39.584,580.933
39.416,579.524
39.58,586.225
39.471,585.171
